id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
100001,5,1,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,1.41,0.3,0.3,1.11,0.0,0.0,0
100002,5,1,1,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,1.18,0.3,1.03,0.5,0.0,0.0,4
100003,5,1,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.5,0.3,0.3,0.3,0.0,0.0,5
100004,5,1,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.3,0.56,0.56,1.45,0.0,0.0,4
100005,5,0,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,5
100006,5,1,0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.3,0.3,0.0,0.3,0.0,0.0,5
100008,5,1,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.0,0.0,0
100009,5,1,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.3,0.3,0.0,0.3,0.0,0.0,0
100010,5,1,0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.3,0.3,0.5,0.5,0.0,0.0,4
100011,5,1,1,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,88.21,0.3,0.3,0.58,0.0,0.0,0
100012,5,1,1,1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,5
100013,5,0,1,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.3,0.0,0.0,5
100015,4,0,0,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,4
100016,4,1,0,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,4
100018,4,1,1,1,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.6,0.3,0.0,0.3,0.0,0.0,4
100019,4,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.0,0.0,4
100020,4,1,1,1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.6,0.3,0.0,0.3,0.0,0.0,4
100021,4,1,0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.3,0.0,0.0,5
100022,4,1,0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.5,0.3,0.3,0.0,0.0,0.0,5
100023,4,1,0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0
